pCode,pDescription,pSize,pValue,pDpNpr,pCategory
NP20004,Vestige Noni,90 capsules,18.06,800,health-care
NP20005,Vestige Aloe Vera,60 capsules,9.17,440,health-care
NP20007A,Vestige Ganoderma,90 capsules,31.04,1490,health-care
NP20008,Vestige Colostrum,60 capsules,21.67,1040,health-care
NP20023,Vestige Spirulina,100 capsules,11.67,560,health-care
NP20026,Vestige Neem,100 softgels,12.29,590,health-care
NP20027,Vestige Flax Oil,90 softgels,17.19,825,health-care
NP21001,Vestige Glucosamine,60 tablets,17.4,835,health-care
NP21003,Vestige L-Arginine,15 x 10 g,47.92,2300,health-care
NP21032,Vestige Fiber,200 g,25.73,1235,health-care
NP21012,Vestige Detox Foot Patches,10 patches,38.11,2195,health-care
NP21013,Vestige Prime Krill Oil,30 softgels,43.75,2100,health-care
NP21019,Vestige Eye Support,30 capsules,20.63,990,health-care
NP21023,Vestige Calcium,100 tablets,7.71,370,health-care
NP21026,Vestige Collagen,7.5 x 10 g,21.36,1025,health-care
NP21030A,Vestige Coenzyme Q10,30 softgels,35.42,1700,health-care
NP21041,Vestige Protein Powder,200 g,32.71,1570,health-care
NP20025,Vestige Amla,60 capsules,7.29,350,health-care
NP20016,Vestige Curcumin Plus,60 capsules,33.02,1584,health-care
NP20017,Vestige Shatavari Max,90 capsules,16.88,810,health-care
NP22020,Zeta Premium Nepal Tea,250 g,3.75,240,consumables
NP22028A,Dabur Honitus Ginger,100 N,1.33,192,consumables
NP22029A,Dabur Hajmola Regular,120 tablets,0.37,67,consumables
NP22030A,Dabur Hajmola Pudina,120 tablets,0.37,67,consumables
NP22032,Rakura Supreme Organic Green Tea,100 g,1.53,220,consumables
NP22033,Rakura Supreme Organic Green Tea,200 g,2.78,400,consumables
NP22039A,Dabur Chyawanprash,500 g,2.2,345,consumables
NP22041,Zeta Coffee,50 g,6.35,305,consumables
NP22042A,Lite House Rice Bran Oil,2 L,9.06,870,consumables
NP22043,Invigo Nutritional Protein Powder,200 g,19.79,950,consumables
NP22051A,Real Mixed Fruit,1 L,1.77,267,consumables
NP22052A,Real Activ Apple,1 L,1.86,296,consumables
NP22053A,Real Mango Nectar,1 L,1.7,267,consumables
NP22054A,Real Pomegranate,1 L,1.77,267,consumables
NP22055A,Dabur Guava Nectar,1 L,1.76,267,consumables
NP22056B,Dabur Honey,400 g,2.3,330,consumables
NP22057,Rakura Organic Himalayan Black Tea,25 Teabags,1.19,172,consumables
NP22058,Rakura Organic Himalayan Green Tea,25 Teabags,1.19,172,consumables
NP22059,Rakura Organic Himalayan Light Green Tea,25 Teabags,1.26,182,consumables
NP22060,Rakura Himalayan Sencha Japanese Green Tea,25 Teabags,1.26,182,consumables
NP23008,Assure Exfoliating Face Scrub,60 g,9.69,465,personal-care
NP23011A,Assure Hair Oil,200 ml,5.73,275,personal-care
NP23014A,Assure Foot Cream,50 g,5.31,255,personal-care
NP23016A,Assure BB Cream,30 g,14.58,700,personal-care
NP23020A,Assure Deep Cleanse Shampoo (Oily),200 ml,5.38,310,personal-care
NP23021A,Assure Moisture Rich Shampoo (D&D),200 ml,5.38,310,personal-care
NP23022A,Assure Daily Care Shampoo (Normal),200 ml,5.38,310,personal-care
NP23023A,Assure Anti-Ageing Night Cream,60 g,8.23,395,personal-care
NP23024A,Assure Complete Fairness Cream,50 g,5.21,300,personal-care
NP23025,Assure Instant Glow Face Pack,60 g,5.63,270,personal-care
NP23026,Assure Facial Massage Cream,60 g,8.13,390,personal-care
NP23029A,Assure Sun Defense SPF 30+,60 g,8.54,410,personal-care
